,,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,datetime,datetime,datetime,datetime,datetime,datetime,datetime,datetime,year,year,year,year,year,year,year,year,month,month,month,month,month,month,month,month,day,day,day,day,day,day,day,day
,,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
Cid.Universitária USP - IPEN,NO,6505.0,13.085780169100692,0.0,1.0,3.0,10.0,276.0,29.135958534869587,6505,2017-05-24 21:32:49.069946112,2017-01-01 02:00:00,2017-03-14 23:00:00,2017-05-24 17:00:00,2017-08-03 23:00:00,2017-10-25 23:00:00,,6505.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,6505.0,5.2756341275941585,1.0,3.0,5.0,8.0,10.0,2.709454201096379,6505.0,15.21106840891622,1.0,8.0,15.0,23.0,31.0,8.818582944371775
Cid.Universitária USP - IPEN,NO2,29927.0,31.695492364754234,0.0,16.0,26.0,41.0,212.0,22.239517482867026,29927,2016-11-23 04:20:04.490928128,2015-01-01 02:00:00,2015-12-08 22:30:00,2016-10-31 13:00:00,2017-09-24 22:30:00,2018-12-31 23:00:00,,29927.0,2016.4204230293715,2015.0,2015.0,2016.0,2017.0,2018.0,1.118045009051899,29927.0,6.213987369265212,1.0,3.0,6.0,9.0,12.0,3.276543246191498,29927.0,15.752397500584756,1.0,8.0,16.0,23.0,31.0,8.79570393554099
Cid.Universitária USP - IPEN,O3,63556.0,41.84646610862861,0.0,15.0,34.0,58.0,767.0,36.88140745653494,63556,2018-11-24 00:19:31.829567744,2015-01-01 01:00:00,2016-11-03 00:30:00,2018-12-02 11:30:00,2020-11-14 11:15:00,2023-01-01 00:00:00,,63556.0,2018.397680785449,2015.0,2016.0,2018.0,2020.0,2022.0,2.2981168065838715,63556.0,6.499417836238908,1.0,4.0,6.0,9.0,12.0,3.413701073992557,63556.0,15.722921518031342,1.0,8.0,16.0,23.0,31.0,8.758286722299491
Congonhas,CO,60811.0,1069.4197206033325,0.0,623.830735,998.1291759,1372.427616926503,9981.291759,626.7551556073779,60811,2018-11-11 03:14:57.528407808,2015-01-01 01:00:00,2017-01-03 03:30:00,2018-11-01 12:00:00,2020-08-27 01:30:00,2023-01-01 00:00:00,,60811.0,2018.3693575175544,2015.0,2017.0,2018.0,2020.0,2022.0,2.2391063949171266,60811.0,6.412951604150565,1.0,4.0,6.0,9.0,12.0,3.321311884588322,60811.0,15.843893374553947,1.0,8.0,16.0,23.0,31.0,8.792569368659597
Congonhas,MP10,66215.0,28.918145435324323,0.0,16.0,25.0,37.0,238.0,18.758756213307514,66215,2018-12-22 12:44:09.423846400,2015-01-01 01:00:00,2016-12-04 06:30:00,2018-12-15 21:00:00,2021-01-02 18:30:00,2023-01-01 00:00:00,,66215.0,2018.4719323416145,2015.0,2016.0,2018.0,2021.0,2022.0,2.3127085700467833,66215.0,6.543034055727555,1.0,4.0,7.0,10.0,12.0,3.4225243175961317,66215.0,15.760326210073247,1.0,8.0,16.0,23.0,31.0,8.800892564092385
Congonhas,MP2.5,64446.0,17.815504453340782,0.0,9.0,15.0,23.0,122.0,12.556478256937039,64446,2019-01-03 09:31:51.497998336,2015-01-04 14:00:00,2017-01-07 13:15:00,2018-12-20 06:30:00,2021-01-26 17:45:00,2023-01-01 00:00:00,,64446.0,2018.4987276169195,2015.0,2017.0,2018.0,2021.0,2022.0,2.3037795123116034,64446.0,6.612155913477951,1.0,4.0,7.0,10.0,12.0,3.3713659114043257,64446.0,15.747602644074108,1.0,8.0,16.0,23.0,31.0,8.79757132974876
Congonhas,NO,7846.0,45.22584756563854,0.0,16.0,33.0,60.0,625.0,46.9390500179281,7846,2017-06-23 08:28:32.362987264,2017-01-01 01:00:00,2017-03-23 19:15:00,2017-06-14 09:30:00,2017-10-04 06:45:00,2017-12-25 23:00:00,,7846.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,7846.0,6.225592658679582,1.0,3.0,6.0,10.0,12.0,3.4747326310270146,7846.0,15.708768799388224,1.0,8.0,16.0,23.0,31.0,8.561043406462936
Congonhas,NO2,62040.0,59.83363958736299,0.0,42.0,56.0,73.0,267.0,25.885669639461348,62040,2018-12-07 10:07:54.603481856,2015-01-01 02:00:00,2017-01-12 21:45:00,2018-12-06 13:30:00,2020-10-17 04:15:00,2023-01-01 00:00:00,,62040.0,2018.449194068343,2015.0,2017.0,2018.0,2020.0,2022.0,2.2677447078791904,62040.0,6.32150225660864,1.0,4.0,6.0,9.0,12.0,3.3411605700121783,62040.0,15.734800128949065,1.0,8.0,16.0,23.0,31.0,8.80678518417775
Congonhas,SO2,59349.0,2.454818109824934,0.0,1.0,2.0,3.0,50.0,2.194600586025005,59349,2018-12-28 09:01:56.160339712,2015-01-01 01:00:00,2017-02-14 23:00:00,2018-12-26 21:00:00,2020-11-11 22:00:00,2023-01-01 00:00:00,,59349.0,2018.5079445315,2015.0,2017.0,2018.0,2020.0,2022.0,2.262874782367173,59349.0,6.3021954877083015,1.0,3.0,6.0,9.0,12.0,3.3567486863144715,59349.0,15.811521676860604,1.0,8.0,16.0,23.0,31.0,8.76383324961304
Cordeiropolis - Modolo,MP10,64.0,36.90625,7.0,20.0,31.0,52.25,86.0,19.63857456922755,64,2022-06-22 10:00:00,2022-01-29 01:00:00,2022-04-13 07:00:00,2022-06-01 01:00:00,2022-09-03 13:00:00,2022-12-19 01:00:00,,64.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,0.0,64.0,6.234375,1.0,4.0,5.5,9.0,12.0,3.0795907144057257,64.0,15.0625,1.0,8.0,14.5,22.0,30.0,8.69386757049665
Cordeirópolis - Módolo,MP10,361.0,38.81163434903047,4.0,23.0,33.0,52.0,120.0,22.12898998145332,361,2018-05-08 06:23:06.149584640,2015-01-09 01:00:00,2016-07-04 01:00:00,2018-05-06 01:00:00,2020-01-12 01:00:00,2021-11-20 01:00:00,,361.0,2017.8559556786704,2015.0,2016.0,2018.0,2020.0,2021.0,2.0072851312233055,361.0,6.457063711911357,1.0,3.0,7.0,9.0,12.0,3.4244158007585863,361.0,15.573407202216066,1.0,8.0,16.0,23.0,31.0,8.617215441767536
Cubatão - Centro,MP10,62434.0,26.034308229490343,0.0,13.0,22.0,33.0,705.0,21.737229442745512,62434,2018-11-10 19:51:16.381458688,2015-01-04 12:00:00,2017-01-16 15:15:00,2018-11-04 06:30:00,2020-10-12 19:45:00,2022-07-29 01:00:00,,62434.0,2018.3768459493224,2015.0,2017.0,2018.0,2020.0,2022.0,2.1778718343485304,62434.0,6.3130826152416954,1.0,3.0,6.0,9.0,12.0,3.380634014156503,62434.0,15.792949354518372,1.0,8.0,16.0,23.0,31.0,8.796345266110086
Cubatão - Centro,NO,7625.0,23.48144262295082,0.0,2.0,8.0,36.0,276.0,31.435529270903977,7625,2017-07-03 19:09:25.613114624,2017-01-01 02:00:00,2017-03-28 11:00:00,2017-07-06 19:00:00,2017-10-06 11:00:00,2017-12-31 23:00:00,,7625.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,7625.0,6.5697049180327864,1.0,3.0,7.0,10.0,12.0,3.5297268887610267,7625.0,15.614819672131148,1.0,8.0,16.0,23.0,31.0,8.927624675254625
Cubatão - Centro,NO2,56299.0,31.000088811524183,0.0,18.0,29.0,41.0,226.0,17.248605384627165,56299,2018-10-17 16:11:55.728520704,2015-01-01 02:00:00,2016-12-05 23:00:00,2018-09-29 20:00:00,2020-09-15 19:30:00,2022-07-29 00:00:00,,56299.0,2018.3200767331568,2015.0,2016.0,2018.0,2020.0,2022.0,2.2071092944171227,56299.0,6.202330414394572,1.0,3.0,6.0,9.0,12.0,3.3606246824946497,56299.0,15.723884971313877,1.0,8.0,16.0,23.0,31.0,8.82776848717107
Cubatão - Centro,O3,59088.0,26.571063498510696,0.0,2.0,18.0,43.0,274.0,28.86500145226042,59088,2018-10-09 03:12:16.779041536,2015-01-01 01:00:00,2016-11-29 11:45:00,2018-09-10 01:30:00,2020-10-13 22:15:00,2022-07-29 01:00:00,,59088.0,2018.2866233414568,2015.0,2016.0,2018.0,2020.0,2022.0,2.2026549855908475,59088.0,6.321605063633902,1.0,3.0,6.0,9.0,12.0,3.460375661981372,59088.0,15.773253452477661,1.0,8.0,16.0,23.0,31.0,8.803769413034397
Cubatão - Centro,SO2,59131.0,9.830833234682316,0.0,2.0,4.0,10.0,9645.0,59.73489898731138,59131,2018-11-01 14:05:15.063164928,2015-01-01 01:00:00,2016-12-15 14:30:00,2018-10-26 15:00:00,2020-10-08 16:30:00,2022-07-29 01:00:00,,59131.0,2018.3488694593361,2015.0,2016.0,2018.0,2020.0,2022.0,2.1919558820671425,59131.0,6.34609595643571,1.0,3.0,6.0,9.0,12.0,3.406379114981125,59131.0,15.754561904922967,1.0,8.0,16.0,23.0,31.0,8.834503485408277
Cubatão - Vale do Mogi,MP10,68409.0,37.86871610460612,0.0,20.0,31.0,47.0,931.0,29.286052045204883,68409,2018-12-31 08:17:59.436916480,2015-01-01 01:00:00,2016-12-24 11:00:00,2018-12-26 17:00:00,2021-01-03 10:00:00,2023-01-01 00:00:00,,68409.0,2018.4937362043006,2015.0,2016.0,2018.0,2021.0,2022.0,2.298668871525328,68409.0,6.572731658115161,1.0,4.0,7.0,10.0,12.0,3.4287107468571176,68409.0,15.712581677849405,1.0,8.0,16.0,23.0,31.0,8.781113369488192
Cubatão - Vale do Mogi,NO,7012.0,32.70892755276669,0.0,11.0,24.0,44.0,340.0,30.297297692823165,7012,2017-07-03 22:02:39.155733504,2017-01-04 13:00:00,2017-04-01 18:45:00,2017-07-09 18:30:00,2017-09-25 21:15:00,2017-12-31 23:00:00,,7012.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,7012.0,6.5730176839703365,1.0,4.0,7.0,9.0,12.0,3.3492051513158754,7012.0,15.66471762692527,1.0,8.0,15.0,23.0,31.0,8.73601130226159
Cubatão - Vale do Mogi,NO2,58870.0,35.750840835739766,0.0,23.0,33.0,45.0,271.0,17.89706693563641,58870,2018-12-11 04:19:29.220315904,2015-01-01 02:00:00,2016-11-14 08:15:00,2018-12-05 15:30:00,2020-12-28 08:45:00,2022-12-16 00:00:00,,58870.0,2018.4368438933243,2015.0,2016.0,2018.0,2020.0,2022.0,2.313900798930697,58870.0,6.596127059622898,1.0,4.0,7.0,9.0,12.0,3.403789649415562,58870.0,15.588568031255308,1.0,8.0,15.0,23.0,31.0,8.732014157556723
Cubatão - Vale do Mogi,O3,58109.0,19.893562098814296,0.0,3.0,12.0,30.0,225.0,22.01363365733672,58109,2018-09-26 17:44:32.384656640,2015-01-01 01:00:00,2016-10-14 18:00:00,2018-08-04 10:00:00,2020-09-20 10:00:00,2023-01-01 00:00:00,,58109.0,2018.2490147825638,2015.0,2016.0,2018.0,2020.0,2022.0,2.227372612212955,58109.0,6.366466468189093,1.0,3.0,6.0,9.0,12.0,3.4689793893472074,58109.0,15.742397907380957,1.0,8.0,16.0,23.0,31.0,8.730476802906692
Cubatão - Vale do Mogi,SO2,61715.0,7.33982014097059,0.0,2.0,4.0,8.0,448.0,11.944363150205954,61715,2019-01-25 12:00:34.241270528,2015-01-01 01:00:00,2016-11-22 00:00:00,2019-03-02 09:00:00,2021-02-15 07:30:00,2023-01-01 00:00:00,,61715.0,2018.5457506278863,2015.0,2016.0,2019.0,2021.0,2022.0,2.33513517603199,61715.0,6.773539658105809,1.0,4.0,7.0,10.0,12.0,3.3568170923323355,61715.0,15.780393745442762,1.0,8.0,16.0,23.0,31.0,8.78824488459824
Cubatão - Vila Parisi,MP10,68295.0,72.11841276813823,0.0,33.0,59.0,96.0,1924.0,57.70541066441019,68295,2019-01-07 09:28:25.143860992,2015-01-01 01:00:00,2017-01-10 03:30:00,2019-01-15 18:00:00,2021-01-05 11:30:00,2023-01-01 00:00:00,,68295.0,2018.5189984625522,2015.0,2017.0,2019.0,2021.0,2022.0,2.2905643221004857,68295.0,6.500080532981917,1.0,4.0,6.0,9.0,12.0,3.4499244828679734,68295.0,15.736686433853137,1.0,8.0,16.0,23.0,31.0,8.813773601120504
Cubatão - Vila Parisi,NO,7073.0,90.30779018803902,0.0,41.0,71.0,122.0,768.0,71.29794265081412,7073,2017-07-05 07:03:09.848720384,2017-01-01 02:00:00,2017-04-09 23:00:00,2017-07-11 16:00:00,2017-09-27 15:00:00,2017-12-31 23:00:00,,7073.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,7073.0,6.603986992789481,1.0,4.0,7.0,9.0,12.0,3.3946192693722934,7073.0,16.084546868372684,1.0,9.0,16.0,24.0,31.0,8.639717433580477
Cubatão - Vila Parisi,NO2,60274.0,48.135896074592694,0.0,34.0,45.0,59.0,278.0,20.979914626459504,60274,2019-01-03 12:50:52.778976,2015-01-01 02:00:00,2016-12-11 11:15:00,2019-01-05 12:30:00,2021-02-01 14:45:00,2023-01-01 00:00:00,,60274.0,2018.509689086505,2015.0,2016.0,2019.0,2021.0,2022.0,2.3241207009804343,60274.0,6.488751368749377,1.0,4.0,7.0,9.0,12.0,3.4255495545146792,60274.0,15.622839035073167,1.0,8.0,15.0,23.0,31.0,8.743276983067616
Cubatão - Vila Parisi,PTS,247.0,205.66396761133603,16.0,108.5,187.0,289.0,708.0,128.64520929770757,247,2018-09-26 12:22:06.315789056,2015-01-09 01:00:00,2016-09-11 01:00:00,2018-05-18 01:00:00,2021-05-15 01:00:00,2022-12-13 01:00:00,,247.0,2018.2550607287449,2015.0,2016.0,2018.0,2021.0,2022.0,2.415171537015041,247.0,6.303643724696356,1.0,3.0,6.0,9.0,12.0,3.413404185371918,247.0,15.805668016194332,1.0,8.0,16.0,23.0,31.0,8.681040003817245
Cubatão - Vila Parisi,SO2,62570.0,10.423445740770337,0.0,2.0,5.0,11.0,1309.0,19.955486674158973,62570,2019-01-05 02:37:19.571679744,2015-01-01 01:00:00,2017-01-04 02:15:00,2019-01-30 08:30:00,2020-12-23 17:45:00,2023-01-01 00:00:00,,62570.0,2018.5154546907463,2015.0,2017.0,2019.0,2020.0,2022.0,2.299769096580315,62570.0,6.465814287997443,1.0,4.0,6.0,9.0,12.0,3.426432048968907,62570.0,15.790298865270897,1.0,8.0,16.0,23.0,31.0,8.818726788285698
Diadema,MP10,62569.0,25.351547891128195,0.0,13.0,21.0,32.0,299.0,18.85856133209387,62569,2019-01-10 12:42:14.654541312,2015-01-01 01:00:00,2016-10-27 19:00:00,2019-03-27 06:00:00,2021-01-15 01:00:00,2022-12-18 00:00:00,,62569.0,2018.5343221083924,2015.0,2016.0,2019.0,2021.0,2022.0,2.329249204172291,62569.0,6.422653390656715,1.0,4.0,6.0,9.0,12.0,3.37100389014933,62569.0,15.662628458182168,1.0,8.0,16.0,23.0,31.0,8.788442707836879
Diadema,O3,60469.0,35.6294630306438,0.0,14.0,28.0,48.0,327.0,30.982815728851012,60469,2019-01-21 05:40:16.570473984,2015-01-01 01:00:00,2016-10-30 16:00:00,2019-04-04 10:00:00,2021-02-08 01:00:00,2022-12-16 05:00:00,,60469.0,2018.5623211893699,2015.0,2016.0,2019.0,2021.0,2022.0,2.347718321200791,60469.0,6.436521192677239,1.0,4.0,6.0,9.0,12.0,3.378118113749539,60469.0,15.710231688964594,1.0,8.0,16.0,23.0,31.0,8.826959049054318
Franca - Centro,FMC,96.0,3.9375,1.0,2.0,4.0,5.0,11.0,2.096676568185696,96,2015-12-20 07:00:00,2015-01-09 01:00:00,2015-05-31 13:00:00,2015-11-08 01:00:00,2016-07-11 13:00:00,2016-12-27 01:00:00,,96.0,2015.4270833333333,2015.0,2015.0,2015.0,2016.0,2016.0,0.497251216116989,96.0,7.041666666666667,1.0,4.75,7.0,10.0,12.0,3.195116888288214,96.0,15.03125,1.0,8.0,14.5,22.0,31.0,8.660197062301455
Franca - Cidade Nova,MP10,351.0,21.6011396011396,2.0,11.0,17.0,26.0,211.0,19.448992595589957,351,2019-07-11 02:42:33.846153728,2016-02-17 01:00:00,2017-10-13 01:00:00,2019-07-22 01:00:00,2021-02-26 01:00:00,2022-12-19 01:00:00,,351.0,2019.017094017094,2016.0,2017.0,2019.0,2021.0,2022.0,1.9638864062999717,351.0,6.603988603988604,1.0,4.0,6.0,10.0,12.0,3.3661993897121323,351.0,15.78917378917379,1.0,8.0,16.0,23.0,31.0,8.79974007090126
Grajaú - Parelheiros,CO,47419.0,729.8789341203347,0.0,374.2984409799554,499.064588,998.1291759,7361.202673,586.6357223712977,47419,2018-06-14 07:32:00.824985856,2015-01-01 01:00:00,2016-10-02 17:30:00,2018-03-13 09:00:00,2019-09-03 05:00:00,2022-11-26 04:00:00,,47419.0,2017.9587718003331,2015.0,2016.0,2018.0,2019.0,2022.0,2.1544030702479597,47419.0,6.422235812648938,1.0,3.0,6.0,9.0,12.0,3.403818428302194,47419.0,15.674202323962968,1.0,8.0,16.0,23.0,31.0,8.768311583641085
Grajaú - Parelheiros,MP10,66080.0,34.89154055690073,0.0,15.0,27.0,46.0,566.0,29.545784284994713,66080,2019-01-25 18:32:49.049636864,2015-01-01 01:00:00,2017-02-01 05:45:00,2019-01-09 05:30:00,2021-01-31 05:15:00,2023-01-01 00:00:00,,66080.0,2018.5638165859564,2015.0,2017.0,2019.0,2021.0,2022.0,2.288995296998349,66080.0,6.567690677966102,1.0,4.0,7.0,10.0,12.0,3.399296623795358,66080.0,15.688438256658596,1.0,8.0,16.0,23.0,31.0,8.747170140641686
Grajaú - Parelheiros,MP2.5,65330.0,16.346089086177866,0.0,6.0,13.0,22.0,415.0,15.20369882480233,65330,2019-01-14 09:52:50.457676288,2015-01-01 01:00:00,2017-01-10 16:15:00,2019-01-21 04:30:00,2021-01-14 10:45:00,2023-01-01 00:00:00,,65330.0,2018.5320067350376,2015.0,2017.0,2019.0,2021.0,2022.0,2.303947065705351,65330.0,6.572968008571866,1.0,4.0,7.0,9.0,12.0,3.371275523154391,65330.0,15.785733966018675,1.0,8.0,16.0,23.0,31.0,8.808561695478454
Grajaú - Parelheiros,NO,8286.0,18.45426019792421,0.0,2.0,7.0,20.0,440.0,32.819092586716216,8286,2017-07-02 04:48:08.776249344,2017-01-01 02:00:00,2017-04-01 08:15:00,2017-06-30 09:30:00,2017-10-02 11:45:00,2017-12-31 23:00:00,,8286.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,8286.0,6.517620082066136,1.0,4.0,6.0,10.0,12.0,3.463037473332347,8286.0,15.628892107168719,1.0,8.0,16.0,23.0,31.0,8.798199212450275
Grajaú - Parelheiros,NO2,27080.0,28.95376661742984,0.0,14.0,26.0,40.0,184.0,19.579630876603446,27080,2017-02-06 21:22:49.010340096,2015-01-01 02:00:00,2016-02-03 20:45:00,2017-04-14 02:30:00,2018-02-06 22:15:00,2018-12-31 23:00:00,,27080.0,2016.6228212703102,2015.0,2016.0,2017.0,2018.0,2018.0,1.1355148015027303,27080.0,6.2743353028065,1.0,3.0,6.0,9.0,12.0,3.391690180727494,27080.0,15.70638847858198,1.0,8.0,16.0,23.0,31.0,8.87579083887008
Grajaú - Parelheiros,O3,53721.0,37.96796411086912,0.0,18.0,35.0,51.0,306.0,27.354652740428257,53721,2018-12-27 10:50:36.555537152,2015-01-01 01:00:00,2017-03-26 14:00:00,2018-11-05 23:00:00,2020-08-28 15:00:00,2023-01-01 00:00:00,,53721.0,2018.4847452579065,2015.0,2017.0,2018.0,2020.0,2022.0,2.249314236269746,53721.0,6.551814001973158,1.0,4.0,7.0,9.0,12.0,3.3767415068558875,53721.0,15.749520671618175,1.0,8.0,16.0,23.0,31.0,8.798308354376072
Guaratinguetá,MP10,25751.0,19.976932934643315,0.0,9.0,17.0,27.0,217.0,15.591068264792023,25751,2019-01-08 07:10:49.652440576,2017-01-19 10:00:00,2017-12-20 08:30:00,2018-09-30 10:00:00,2019-08-12 15:30:00,2023-01-01 00:00:00,,25751.0,2018.5214943109006,2017.0,2017.0,2018.0,2019.0,2022.0,1.4090946332290166,25751.0,6.503786260727739,1.0,3.0,7.0,9.0,12.0,3.433922045581304,25751.0,15.648091336258785,1.0,8.0,16.0,23.0,31.0,8.768746362201853
Guaratinguetá,MP2.5,27098.0,11.569193298398405,0.0,6.0,10.0,15.0,100.0,7.2392686415707885,27098,2020-07-16 22:59:40.470883584,2018-01-01 01:00:00,2019-03-10 15:15:00,2021-01-11 18:30:00,2022-01-19 06:45:00,2023-01-01 00:00:00,,27098.0,2020.0741383127906,2018.0,2019.0,2021.0,2022.0,2022.0,1.5404649610362853,27098.0,6.132592811277585,1.0,3.0,6.0,9.0,12.0,3.37309042463612,27098.0,15.615063842349988,1.0,8.0,15.0,23.0,31.0,8.715638102113694
Guaratinguetá,NO,6104.0,2.875819134993447,0.0,0.0,1.0,2.0,66.0,6.1375338527188354,6104,2017-08-17 02:26:38.296199424,2017-03-27 15:00:00,2017-06-09 07:45:00,2017-08-19 08:30:00,2017-10-24 21:15:00,2017-12-31 23:00:00,,6104.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,6104.0,8.01834862385321,3.0,6.0,8.0,10.0,12.0,2.6066611049443242,6104.0,16.00262123197903,1.0,8.0,16.0,23.0,31.0,8.79688658057128
Guaratinguetá,NO2,33616.0,12.22649928605426,0.0,5.0,9.0,16.0,88.0,9.691964672793729,33616,2019-10-03 09:17:09.474060032,2017-03-27 15:00:00,2018-04-16 20:45:00,2019-05-16 08:30:00,2021-07-01 04:15:00,2022-12-01 00:00:00,,33616.0,2019.2456270823418,2017.0,2018.0,2019.0,2021.0,2022.0,1.731568603429644,33616.0,6.615986435030938,1.0,4.0,7.0,9.0,12.0,3.3149864067570345,33616.0,15.84709662065683,1.0,8.0,16.0,23.0,31.0,8.697898068417038
Guaratinguetá,O3,43777.0,40.76563035383877,0.0,21.0,37.0,57.0,151.0,25.183540152531794,43777,2020-01-05 12:49:28.024304640,2017-01-19 11:00:00,2018-08-05 02:00:00,2019-12-31 08:00:00,2021-06-12 21:00:00,2022-11-04 18:00:00,,43777.0,2019.5060876716084,2017.0,2018.0,2019.0,2021.0,2022.0,1.6366724536311665,43777.0,6.586061173675675,1.0,4.0,7.0,9.0,12.0,3.271744671787892,43777.0,15.737099390090687,1.0,8.0,16.0,23.0,31.0,8.771450936813581
Guaruja - Vicente de Carvalho,MP10,30.0,31.4,10.0,20.25,29.5,35.5,74.0,14.733494564052533,30,2022-09-18 01:00:00,2022-06-10 01:00:00,2022-07-26 13:00:00,2022-09-23 01:00:00,2022-11-05 13:00:00,2022-12-19 01:00:00,,30.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,0.0,30.0,9.133333333333333,6.0,7.25,9.0,11.0,12.0,1.995397001952819,30.0,14.333333333333334,1.0,8.0,14.0,20.75,28.0,8.372093765778578
Guarujá - Vicente de Carvalho,MP10,288.0,33.270833333333336,2.0,21.0,30.0,41.0,153.0,18.62212492132318,288,2018-11-09 08:30:00,2016-02-11 01:00:00,2017-07-10 13:00:00,2018-10-12 01:00:00,2020-02-18 13:00:00,2021-10-27 01:00:00,,288.0,2018.3645833333333,2016.0,2017.0,2018.0,2020.0,2021.0,1.6259210737237815,288.0,6.423611111111111,1.0,4.0,6.0,9.0,12.0,3.2845957883486645,288.0,15.885416666666666,1.0,8.0,16.0,23.0,31.0,8.648219641155771
Guarulhos - Paço Municipal,MP10,61807.0,27.256200753959906,0.0,13.0,21.0,34.0,304.0,22.18914204021444,61807,2019-04-19 23:48:43.882408192,2015-01-01 01:00:00,2017-08-23 13:30:00,2019-06-09 03:00:00,2021-03-18 11:30:00,2023-01-01 00:00:00,,61807.0,2018.8012361059427,2015.0,2017.0,2019.0,2021.0,2022.0,2.236079502454838,61807.0,6.486190884527643,1.0,3.0,6.0,10.0,12.0,3.48535790160686,61807.0,15.702752115456178,1.0,8.0,16.0,23.0,31.0,8.794017304204706
Guarulhos - Paço Municipal,MP2.5,48219.0,15.912897405587008,0.0,7.0,12.0,21.0,244.0,13.664550564112876,48219,2020-01-16 19:34:41.801779456,2017-02-17 01:00:00,2018-07-26 14:30:00,2019-12-30 05:00:00,2021-07-24 22:30:00,2023-01-01 00:00:00,,48219.0,2019.5293141707625,2017.0,2018.0,2019.0,2021.0,2022.0,1.7024582170095643,48219.0,6.676600510172339,1.0,4.0,7.0,10.0,12.0,3.4108610296423483,48219.0,15.79788050353595,1.0,8.0,16.0,23.0,31.0,8.771071099728813
Guarulhos - Paço Municipal,NO,8100.0,7.831604938271605,0.0,1.0,2.0,6.0,253.0,16.64253543095342,8100,2017-07-02 14:06:46.222222336,2017-01-04 11:00:00,2017-04-02 14:45:00,2017-06-30 13:30:00,2017-10-04 14:15:00,2017-12-31 23:00:00,,8100.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,8100.0,6.527160493827161,1.0,4.0,6.0,10.0,12.0,3.4460730936539252,8100.0,15.748271604938271,1.0,8.0,16.0,23.0,31.0,8.779991380877666
Guarulhos - Paço Municipal,NO2,26038.0,29.820070665949764,0.0,15.0,25.0,39.0,176.0,20.48658578359024,26038,2017-01-22 10:39:19.812581632,2015-01-01 02:00:00,2015-11-03 00:30:00,2017-04-18 19:30:00,2018-02-27 18:45:00,2018-12-31 23:00:00,,26038.0,2016.5718565173977,2015.0,2015.0,2017.0,2018.0,2018.0,1.187189764060183,26038.0,6.371572317382287,1.0,3.0,6.0,9.0,12.0,3.4908625303162784,26038.0,15.942699132037792,1.0,9.0,16.0,23.0,31.0,8.715446111691467
Guarulhos - Paço Municipal,O3,67814.0,37.728669596248565,0.0,14.0,31.0,53.0,283.0,31.666780775025853,67814,2019-01-13 07:13:13.482171904,2015-01-01 01:00:00,2017-01-17 19:15:00,2019-01-16 08:30:00,2021-01-10 12:45:00,2023-01-01 00:00:00,,67814.0,2018.5327808417142,2015.0,2017.0,2019.0,2021.0,2022.0,2.2855281558251264,67814.0,6.527427964727048,1.0,4.0,7.0,10.0,12.0,3.4546564137296945,67814.0,15.769044740024183,1.0,8.0,16.0,23.0,31.0,8.789792276995195
Guarulhos - Pimentas,CO,27283.0,618.2882150884674,0.0,374.298441,499.064588,748.5968819599109,4616.347438752784,360.6170196800709,27283,2019-11-03 04:50:59.135725568,2015-06-03 01:00:00,2016-08-02 03:30:00,2021-05-29 02:00:00,2022-03-15 13:30:00,2023-01-01 00:00:00,,27283.0,2019.2747498442254,2015.0,2016.0,2021.0,2022.0,2022.0,2.909734030530085,27283.0,7.282007110654987,1.0,5.0,8.0,10.0,12.0,3.2029112948685823,27283.0,15.66396657259099,1.0,8.0,16.0,23.0,31.0,8.767536900630578
Guarulhos - Pimentas,MP10,52544.0,30.83351096224117,0.0,15.0,24.0,37.0,906.0,27.788231001549754,52544,2019-07-26 14:05:45.584652800,2015-06-03 11:00:00,2017-04-19 14:45:00,2019-10-27 07:30:00,2021-06-20 01:15:00,2023-01-01 00:00:00,,52544.0,2019.0336099269184,2015.0,2017.0,2019.0,2021.0,2022.0,2.2302712120058645,52544.0,6.900007612667479,1.0,4.0,7.0,10.0,12.0,3.3425402921557774,52544.0,15.779936814859926,1.0,8.0,16.0,23.0,31.0,8.682061579930233
