,,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,datetime,datetime,datetime,datetime,datetime,datetime,datetime,datetime,year,year,year,year,year,year,year,year,month,month,month,month,month,month,month,month,day,day,day,day,day,day,day,day
,,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
Barretos - América,MP10,74.0,38.054054054054056,3.0,25.0,32.0,50.0,85.0,19.955355577293435,74,2015-12-29 23:03:14.594594304,2015-01-09 01:00:00,2015-05-10 13:00:00,2016-03-03 01:00:00,2016-06-26 13:00:00,2016-11-25 01:00:00,,74.0,2015.554054054054,2015.0,2015.0,2016.0,2016.0,2016.0,0.5004625775806639,74.0,5.8108108108108105,1.0,3.0,5.0,7.75,12.0,3.292480747182352,74.0,15.783783783783784,1.0,9.0,16.0,23.0,29.0,8.41927057373179
Bauru,MP10,64549.0,25.82870377542642,0.0,12.0,20.0,33.0,443.0,20.559629086379456,64549,2018-12-05 04:57:25.066538752,2015-01-01 01:00:00,2016-12-02 23:00:00,2018-11-27 13:00:00,2020-11-27 12:00:00,2023-01-01 00:00:00,,64549.0,2018.431935428899,2015.0,2016.0,2018.0,2020.0,2022.0,2.2899595487426017,64549.0,6.453159615176068,1.0,3.0,6.0,9.0,12.0,3.478832377650279,64549.0,15.773133588436691,1.0,8.0,16.0,23.0,31.0,8.809122243142694
Bauru,NO,6801.0,3.791942361417439,0.0,0.0,1.0,3.0,237.0,11.766744004892658,6801,2017-06-13 12:13:18.235553536,2017-01-01 01:00:00,2017-03-17 09:00:00,2017-06-07 19:00:00,2017-09-08 12:00:00,2017-12-31 23:00:00,,6801.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,6801.0,5.925158064990443,1.0,3.0,6.0,9.0,12.0,3.259035075869402,6801.0,14.995147772386414,1.0,7.0,15.0,22.0,31.0,8.900866116782986
Bauru,NO2,63637.0,15.745179691060232,0.0,6.0,10.0,19.0,133.0,15.418247494538774,63637,2019-01-06 09:13:49.837987072,2015-01-01 02:00:00,2016-12-08 05:00:00,2019-01-16 08:00:00,2021-01-23 16:00:00,2023-01-01 00:00:00,,63637.0,2018.5158476986658,2015.0,2016.0,2019.0,2021.0,2022.0,2.308894994685688,63637.0,6.505444945550544,1.0,4.0,7.0,9.0,12.0,3.4184724534308124,63637.0,15.698728726998445,1.0,8.0,16.0,23.0,31.0,8.765380085169992
Bauru,O3,66002.0,41.12887488257932,0.0,22.0,37.0,58.0,176.0,26.602045980041066,66002,2019-01-19 20:28:03.112632832,2015-01-01 01:00:00,2017-01-26 04:15:00,2019-01-23 08:30:00,2021-01-20 22:45:00,2023-01-01 00:00:00,,66002.0,2018.552922638708,2015.0,2017.0,2019.0,2021.0,2022.0,2.2901779615510685,66002.0,6.503590800278779,1.0,3.0,6.0,10.0,12.0,3.459500929223433,66002.0,15.6860701190873,1.0,8.0,16.0,23.0,31.0,8.76311016184338
Campinas - Centro,CO,61319.0,799.6781801110756,0.0,499.064588,748.5968819599109,998.1291759,7236.436526,368.5504578798263,61319,2018-12-05 10:53:46.138716928,2015-01-01 01:00:00,2016-11-29 20:30:00,2018-11-18 02:00:00,2020-11-24 21:30:00,2023-01-01 00:00:00,,61319.0,2018.4367324972684,2015.0,2016.0,2018.0,2020.0,2022.0,2.3117054855493016,61319.0,6.407638741662454,1.0,3.0,6.0,9.0,12.0,3.4250385644781836,61319.0,15.638236109525595,1.0,8.0,16.0,23.0,31.0,8.802362617590108
Campinas - Centro,MP10,64518.0,25.788415635946556,0.0,15.0,23.0,34.0,175.0,15.113286760470809,64518,2018-12-26 06:32:28.814284288,2015-01-01 01:00:00,2016-12-07 17:15:00,2018-12-24 19:30:00,2021-01-29 13:45:00,2023-01-01 00:00:00,,64518.0,2018.487491862736,2015.0,2016.0,2018.0,2021.0,2022.0,2.331965132272871,64518.0,6.47885861310022,1.0,4.0,6.0,10.0,12.0,3.448843096285431,64518.0,15.754456120772497,1.0,8.0,16.0,23.0,31.0,8.787358250147427
Campinas - Taquaral,MP10,61194.0,21.444978265843055,0.0,10.0,18.0,29.0,238.0,15.867202999430464,61194,2019-02-08 08:44:19.613687808,2015-05-29 01:00:00,2017-03-23 18:15:00,2018-12-28 01:30:00,2021-01-06 07:45:00,2022-11-17 06:00:00,,61194.0,2018.584354675295,2015.0,2017.0,2018.0,2021.0,2022.0,2.1876157702527985,61194.0,6.768147203974245,1.0,4.0,7.0,10.0,12.0,3.391523915604741,61194.0,15.648135438114847,1.0,8.0,16.0,23.0,31.0,8.811370341060943
Campinas - Taquaral,NO,8262.0,3.007020091987412,0.0,0.0,0.0,1.0,136.0,10.13967096850553,8262,2017-07-03 03:08:39.825708288,2017-01-01 02:00:00,2017-04-03 11:15:00,2017-07-02 09:30:00,2017-10-02 11:15:00,2017-12-31 23:00:00,,8262.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,8262.0,6.542846768336965,1.0,4.0,7.0,10.0,12.0,3.4432176463064934,8262.0,15.805979181796175,1.0,8.0,16.0,23.0,31.0,8.80524038037612
Campinas - Taquaral,NO2,52222.0,15.84657807054498,0.0,5.0,10.0,20.0,162.0,16.738999765915224,52222,2018-08-13 03:45:59.595572992,2015-05-29 02:00:00,2016-12-23 17:15:00,2018-07-21 10:30:00,2020-03-22 20:45:00,2022-03-15 00:00:00,,52222.0,2018.1074068400292,2015.0,2016.0,2018.0,2020.0,2022.0,1.9219093046535998,52222.0,6.605664279422466,1.0,4.0,7.0,10.0,12.0,3.412036286773934,52222.0,15.578357780245874,1.0,8.0,15.0,23.0,31.0,8.824838060729125
Campinas - Taquaral,O3,60637.0,48.84768375744183,0.0,25.0,43.0,68.0,231.0,33.567825640826285,60637,2019-02-03 03:28:29.609644288,2015-05-29 02:00:00,2017-03-25 11:00:00,2019-01-18 05:00:00,2020-12-13 13:00:00,2022-11-17 05:00:00,,60637.0,2018.5805366360473,2015.0,2017.0,2019.0,2020.0,2022.0,2.167266440571042,60637.0,6.642775862921979,1.0,4.0,7.0,10.0,12.0,3.382300390743024,60637.0,15.643039728218744,1.0,8.0,16.0,23.0,31.0,8.824331907421143
Campinas - Vila União,MP2.5,56842.0,16.524119489110166,0.0,7.0,13.0,22.0,169.0,13.108679051675544,56842,2019-02-02 13:48:13.515358208,2015-06-18 12:00:00,2017-02-08 18:15:00,2018-12-25 01:30:00,2021-02-12 05:45:00,2023-01-01 00:00:00,,56842.0,2018.5653038246367,2015.0,2017.0,2018.0,2021.0,2022.0,2.2122237271465566,56842.0,6.802434819323739,1.0,4.0,7.0,10.0,12.0,3.534660113533836,56842.0,15.764082896449809,1.0,8.0,16.0,23.0,31.0,8.804698170216017
Campinas - Vila União,NO,6440.0,5.479813664596273,0.0,0.0,1.0,4.0,177.0,12.90956379442718,6440,2017-07-12 00:25:35.590062080,2017-01-01 02:00:00,2017-03-26 18:45:00,2017-08-08 00:30:00,2017-10-17 04:15:00,2017-12-31 23:00:00,,6440.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,6440.0,6.83416149068323,1.0,3.0,8.0,10.0,12.0,3.710122327253959,6440.0,15.642701863354038,1.0,8.0,16.0,23.0,31.0,8.95014627475038
Campinas - Vila União,NO2,28868.0,21.26441041984204,0.0,9.0,16.0,28.0,146.0,17.170004276198622,28868,2017-01-15 14:48:55.818207232,2015-02-03 02:00:00,2015-12-14 09:45:00,2017-01-03 00:30:00,2018-02-11 20:15:00,2018-12-31 23:00:00,,28868.0,2016.5161078010253,2015.0,2015.0,2017.0,2018.0,2018.0,1.155333024498224,28868.0,6.820320077594569,1.0,4.0,7.0,10.0,12.0,3.509894758635954,28868.0,15.729285021477068,1.0,8.0,16.0,23.0,31.0,8.77697429284757
Campinas - Vila União,O3,59118.0,42.77253966642985,0.0,22.0,37.0,59.0,196.0,27.62637709908647,59118,2018-12-24 02:24:00.779458304,2015-02-23 14:00:00,2016-12-01 12:15:00,2018-12-11 22:30:00,2021-01-05 17:45:00,2023-01-01 00:00:00,,59118.0,2018.470313610068,2015.0,2016.0,2018.0,2021.0,2022.0,2.2836087287413203,59118.0,6.614127676849691,1.0,4.0,7.0,10.0,12.0,3.4469817885879084,59118.0,15.753509929293955,1.0,8.0,16.0,23.0,31.0,8.807729409108504
Campos Elíseos,FMC,396.0,20.204545454545453,2.0,11.0,16.0,25.0,122.0,15.107415550086387,396,2018-11-16 01:18:10.909090816,2015-01-09 01:00:00,2016-10-24 13:00:00,2018-08-31 01:00:00,2020-12-14 01:00:00,2022-11-07 01:00:00,,396.0,2018.3762626262626,2015.0,2016.0,2018.0,2020.0,2022.0,2.31939367278042,396.0,6.515151515151516,1.0,4.0,7.0,9.0,12.0,3.3560484188466755,396.0,15.535353535353535,1.0,8.0,15.5,23.0,31.0,8.72773914067141
Campos Elíseos,SO2,73.0,3.095890410958904,3.0,3.0,3.0,3.0,8.0,0.6272599930926178,73,2018-07-29 08:33:41.917808128,2015-01-01 01:00:00,2016-09-01 01:00:00,2018-05-01 01:00:00,2020-08-01 01:00:00,2022-09-01 01:00:00,,73.0,2018.109589041096,2015.0,2016.0,2018.0,2020.0,2022.0,2.300734446961185,73.0,6.589041095890411,1.0,4.0,7.0,9.0,12.0,3.3409729805284276,73.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Capão Redondo,MP10,64165.0,24.280152731239774,0.0,10.0,19.0,32.0,293.0,20.566206005874797,64165,2018-12-09 02:55:33.387360512,2015-01-01 01:00:00,2016-12-07 09:00:00,2018-11-26 07:00:00,2020-12-05 08:00:00,2023-01-01 00:00:00,,64165.0,2018.430530663134,2015.0,2016.0,2018.0,2020.0,2022.0,2.2834952544573497,64165.0,6.599220758980753,1.0,4.0,7.0,10.0,12.0,3.3968488007885256,64165.0,15.771526533156706,1.0,8.0,16.0,23.0,31.0,8.814643460003124
Capão Redondo,NO,7423.0,9.779873366563384,0.0,0.0,2.0,6.0,285.0,24.56967367717087,7423,2017-06-22 05:08:40.382594816,2017-01-01 02:00:00,2017-03-27 02:30:00,2017-06-15 19:00:00,2017-09-05 08:30:00,2017-12-31 23:00:00,,7423.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,7423.0,6.177690960528088,1.0,3.0,6.0,9.0,12.0,3.401273907032183,7423.0,16.027616866496025,1.0,9.0,16.0,24.0,31.0,8.700930381854876
Capão Redondo,NO2,31440.0,27.726017811704835,0.0,14.0,23.0,36.25,164.0,18.912167740942227,31440,2017-01-06 07:00:55.190839552,2015-01-01 02:00:00,2016-01-05 15:45:00,2017-01-07 05:30:00,2018-01-26 05:15:00,2018-12-31 23:00:00,,31440.0,2016.5263040712468,2015.0,2016.0,2017.0,2018.0,2018.0,1.131122384602164,31440.0,6.391221374045801,1.0,3.0,6.0,9.0,12.0,3.453166768845607,31440.0,15.77442748091603,1.0,8.0,16.0,23.0,31.0,8.849110711446095
Capão Redondo,O3,56304.0,38.15686274509804,0.0,16.0,33.0,52.0,313.0,30.768765285341495,56304,2018-08-23 12:08:19.936061440,2015-01-01 01:00:00,2016-09-19 00:30:00,2018-06-10 03:30:00,2020-05-02 08:15:00,2023-01-01 00:00:00,,56304.0,2018.1563299232737,2015.0,2016.0,2018.0,2020.0,2022.0,2.268004938877626,56304.0,6.356067064506962,1.0,3.0,6.0,9.0,12.0,3.5259511660187535,56304.0,15.689773373117363,1.0,8.0,16.0,23.0,31.0,8.809869959587003
Carapicuíba,CO,59306.0,585.3885570568008,0.0,374.2984409799554,499.06458797327394,748.5968819599109,4242.048998,392.2221280456746,59306,2018-11-09 05:11:16.343034368,2015-01-01 01:00:00,2016-12-13 08:15:00,2018-10-08 02:30:00,2020-08-13 08:45:00,2023-01-01 00:00:00,,59306.0,2018.359845546825,2015.0,2016.0,2018.0,2020.0,2022.0,2.272156127801066,59306.0,6.4632920783731835,1.0,3.0,6.0,9.0,12.0,3.462467132240393,59306.0,15.814184062320845,1.0,8.0,16.0,23.0,31.0,8.79334380903225
Carapicuíba,MP10,64560.0,27.281335192069392,0.0,12.0,22.0,36.0,266.0,22.123344858348364,64560,2019-01-03 09:18:39.702601984,2015-01-01 01:00:00,2017-01-13 20:45:00,2018-12-29 07:30:00,2021-01-15 19:15:00,2023-01-01 00:00:00,,64560.0,2018.4967936802973,2015.0,2017.0,2018.0,2021.0,2022.0,2.295666295844576,64560.0,6.634557001239157,1.0,4.0,7.0,10.0,12.0,3.4160011722165646,64560.0,15.77625464684015,1.0,8.0,16.0,23.0,31.0,8.753011177377008
Carapicuíba,NO,8071.0,14.18832858381861,0.0,2.0,6.0,15.0,241.0,23.047275750579416,8071,2017-07-03 20:45:50.291165696,2017-01-01 02:00:00,2017-03-30 00:30:00,2017-07-05 16:00:00,2017-10-05 00:30:00,2017-12-31 23:00:00,,8071.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,8071.0,6.576136786024037,1.0,3.0,7.0,10.0,12.0,3.486190920005622,8071.0,15.50477016478751,1.0,8.0,15.0,23.0,31.0,8.853758618738803
Carapicuíba,NO2,31508.0,33.43287419068173,1.0,21.0,30.0,42.0,190.0,18.587533417417244,31508,2017-01-13 01:09:53.220769280,2015-01-01 02:00:00,2015-12-31 02:45:00,2017-01-19 11:30:00,2018-01-10 23:45:00,2018-12-31 23:00:00,,31508.0,2016.5200583978672,2015.0,2015.0,2017.0,2018.0,2018.0,1.125003896376743,31508.0,6.691062587279421,1.0,4.0,7.0,10.0,12.0,3.414809840348583,31508.0,15.683635901993144,1.0,8.0,16.0,23.0,31.0,8.79618039967403
Carapicuíba,O3,65093.0,35.155900019971426,0.0,12.0,29.0,49.0,298.0,30.131129446042618,65093,2019-02-02 05:09:01.551319040,2015-01-01 01:00:00,2017-02-17 10:00:00,2019-02-13 05:00:00,2021-02-07 09:00:00,2023-01-01 00:00:00,,65093.0,2018.5792635152782,2015.0,2017.0,2019.0,2021.0,2022.0,2.297813458310436,65093.0,6.623185288740725,1.0,4.0,7.0,10.0,12.0,3.431358243248313,65093.0,15.798303965096093,1.0,8.0,16.0,23.0,31.0,8.785821962634596
Catanduva,MP10,67612.0,34.0732414364314,0.0,15.0,27.0,45.0,555.0,27.589375044833186,67612,2019-01-09 02:08:24.123528704,2015-01-01 01:00:00,2017-01-18 22:45:00,2019-01-07 21:30:00,2021-01-17 04:15:00,2023-01-01 00:00:00,,67612.0,2018.526001301544,2015.0,2017.0,2019.0,2021.0,2022.0,2.3001642962871474,67612.0,6.4685115068331065,1.0,3.0,6.0,10.0,12.0,3.445465628031352,67612.0,15.836212506655624,1.0,8.0,16.0,23.0,31.0,8.82576360925378
Catanduva,NO,8343.0,3.060769507371449,0.0,0.0,1.0,3.0,95.0,6.716242294333424,8343,2017-07-02 00:18:31.542610432,2017-01-01 02:00:00,2017-04-01 18:30:00,2017-07-01 15:00:00,2017-09-30 21:30:00,2017-12-31 23:00:00,,8343.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,8343.0,6.50904950257701,1.0,4.0,7.0,9.0,12.0,3.4472958690465716,8343.0,15.709576890806664,1.0,8.0,16.0,23.0,31.0,8.800019240013134
Catanduva,NO2,64511.0,15.090341182123979,0.0,6.0,11.0,19.0,109.0,13.363630863260543,64511,2018-12-31 01:16:16.912464640,2015-01-01 02:00:00,2017-01-15 04:30:00,2018-12-22 07:00:00,2020-12-09 09:30:00,2023-01-01 00:00:00,,64511.0,2018.504317093209,2015.0,2017.0,2018.0,2020.0,2022.0,2.2727263784452942,64511.0,6.433119933034677,1.0,4.0,6.0,9.0,12.0,3.394742750737434,64511.0,15.782564213855002,1.0,8.0,16.0,23.0,31.0,8.767190769155098
Catanduva,O3,66363.0,42.8663261154559,0.0,23.0,40.0,60.0,195.0,27.112997465251606,66363,2019-01-07 13:54:26.597351168,2015-01-01 01:00:00,2017-01-13 03:30:00,2019-01-08 03:00:00,2021-01-06 16:30:00,2023-01-01 00:00:00,,66363.0,2018.5174268794358,2015.0,2017.0,2019.0,2021.0,2022.0,2.293181438500047,66363.0,6.523424197218329,1.0,4.0,7.0,10.0,12.0,3.448751967624612,66363.0,15.775190994982143,1.0,8.0,16.0,23.0,31.0,8.802282118631435
Cerqueira César,CO,59607.0,647.736554179385,0.0,374.2984409799554,499.064588,873.3630289532294,5614.476615,417.4352566016094,59607,2018-11-19 13:22:02.421863168,2015-01-01 01:00:00,2016-11-18 05:00:00,2018-09-19 04:00:00,2021-02-22 09:30:00,2023-01-01 00:00:00,,59607.0,2018.3916150787659,2015.0,2016.0,2018.0,2021.0,2022.0,2.3152665437946167,59607.0,6.42407770899391,1.0,4.0,6.0,9.0,12.0,3.3426397262387986,59607.0,15.766285838911537,1.0,8.0,16.0,23.0,31.0,8.791407675008314
Cerqueira César,FMC,414.0,19.282608695652176,1.0,9.0,16.0,26.0,95.0,13.763827278858475,414,2019-01-27 10:51:18.260869376,2015-01-09 01:00:00,2017-02-13 13:00:00,2019-02-25 01:00:00,2021-01-28 13:00:00,2022-12-19 01:00:00,,414.0,2018.5772946859904,2015.0,2017.0,2019.0,2021.0,2022.0,2.2694019916340755,414.0,6.48792270531401,1.0,4.0,7.0,9.0,12.0,3.3818485759450017,414.0,15.347826086956522,1.0,8.0,15.0,23.0,31.0,8.746346597166625
Cerqueira César,MP10,67105.0,24.895939199761568,0.0,13.0,21.0,33.0,152.0,16.418170896601378,67105,2018-12-17 05:02:46.145592576,2015-01-01 01:00:00,2016-12-18 07:00:00,2018-12-02 15:00:00,2020-12-07 14:00:00,2023-01-01 00:00:00,,67105.0,2018.4589374860293,2015.0,2016.0,2018.0,2020.0,2022.0,2.291011748799193,67105.0,6.525355785708964,1.0,4.0,7.0,9.0,12.0,3.4259076049159534,67105.0,15.724998137247598,1.0,8.0,16.0,23.0,31.0,8.792550260726303
Cerqueira César,MP2.5,431.0,14.51508120649652,1.0,8.5,13.0,19.0,50.0,8.222438382773474,431,2019-02-08 20:59:26.589326848,2015-02-08 01:00:00,2017-03-11 01:00:00,2019-02-28 01:00:00,2021-02-08 01:00:00,2022-12-19 01:00:00,,431.0,2018.6125290023201,2015.0,2017.0,2019.0,2021.0,2022.0,2.265151744692282,431.0,6.461716937354988,1.0,4.0,6.0,9.0,12.0,3.3546629572728324,431.0,15.719257540603248,1.0,8.0,16.0,23.0,31.0,8.711530739173519
Cerqueira César,NO,7847.0,27.442716961896267,0.0,4.0,13.0,38.0,354.0,36.06304489213254,7847,2017-06-28 03:40:21.409455616,2017-01-01 02:00:00,2017-03-27 10:30:00,2017-06-27 11:00:00,2017-09-27 13:30:00,2017-12-31 23:00:00,,7847.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,0.0,7847.0,6.385497642411113,1.0,3.0,6.0,9.0,12.0,3.4133024180187603,7847.0,15.60405250414171,1.0,8.0,15.0,24.0,31.0,8.989364032351745
Cerqueira César,NO2,61806.0,36.13903180920946,0.0,19.0,33.0,49.0,229.0,23.599471918385976,61806,2018-12-21 12:44:22.634695680,2015-01-01 02:00:00,2016-12-19 15:15:00,2018-12-01 09:30:00,2020-12-26 04:45:00,2023-01-01 00:00:00,,61806.0,2018.4605378118629,2015.0,2016.0,2018.0,2020.0,2022.0,2.287425490488153,61806.0,6.644257839044753,1.0,4.0,7.0,10.0,12.0,3.4226419249245965,61806.0,15.824806653075752,1.0,8.0,16.0,23.0,31.0,8.810295628398448
Cerqueira César,PTS,329.0,50.11854103343465,6.0,29.0,43.0,65.0,153.0,29.11909821391721,329,2018-10-15 00:46:52.158054912,2015-01-09 01:00:00,2016-08-21 01:00:00,2018-07-17 01:00:00,2021-02-23 01:00:00,2022-12-19 01:00:00,,329.0,2018.3009118541033,2015.0,2016.0,2018.0,2021.0,2022.0,2.415151441019853,329.0,6.361702127659575,1.0,3.0,6.0,9.0,12.0,3.3458918416290153,329.0,15.753799392097264,1.0,8.0,16.0,23.0,31.0,8.809822980482563
Cerqueira César,SO2,58588.0,1.8116337816617738,0.0,1.0,1.0,2.0,32.0,1.911071876204357,58588,2018-12-05 19:47:02.646275584,2015-01-01 01:00:00,2016-12-09 17:45:00,2018-11-06 18:30:00,2020-12-03 11:15:00,2023-01-01 00:00:00,,58588.0,2018.4141121048679,2015.0,2016.0,2018.0,2020.0,2022.0,2.2980978497739453,58588.0,6.687069024373592,1.0,4.0,7.0,10.0,12.0,3.3734221775002093,58588.0,15.794377688263808,1.0,8.0,16.0,24.0,31.0,8.837605047557153
Cid.Universitária USP - IPEN,CO,7651.0,673.6817494222323,0.0,374.298441,499.064588,748.596882,4616.347439,474.5436980412365,7651,2015-07-03 21:41:12.147431680,2015-01-01 01:00:00,2015-03-28 00:30:00,2015-07-06 20:00:00,2015-10-02 16:30:00,2016-01-01 00:00:00,,7651.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,0.0,7651.0,6.568030322833616,1.0,3.0,7.0,10.0,12.0,3.4786245538332223,7651.0,15.78473402169651,1.0,9.0,16.0,23.0,31.0,8.565735487147746
Cid.Universitária USP - IPEN,MP2.5,64945.0,14.104072676880437,0.0,5.0,11.0,19.0,543.0,12.933756291597431,64945,2018-12-13 08:20:28.473323776,2015-01-01 01:00:00,2016-12-12 22:00:00,2018-11-14 05:00:00,2020-12-21 22:00:00,2023-01-01 00:00:00,,64945.0,2018.4412348910616,2015.0,2016.0,2018.0,2020.0,2022.0,2.300737015183368,64945.0,6.612102548310109,1.0,4.0,7.0,10.0,12.0,3.397756257980557,64945.0,15.703718531064746,1.0,8.0,16.0,23.0,31.0,8.774091312988917
